_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;Bmag;Vmag;Seq;rad;Pkin;Pph;Psp
 50.3270689475;+28.7894203406;  50.32705589;+028.78945816; 11.613; 10.987;  47; 7.3712; 0.0000; 0.0000;0
 50.3278002487;+19.3540917002;  50.32714050;+019.35444700; 15.203; 13.548;  47; 7.7725; 0.0000; 0.0000;0
 50.3278126962;+27.6924957727;  50.32755906;+027.69266370; 13.199; 11.986;  47; 6.7798; 0.0000; 0.0000;0
 50.3324758175;+30.2779801508;  50.33245803;+030.27798963;  9.348;  8.245;  47; 8.3340; 0.0000; 0.0000;0
 50.3364093144;+20.2861264143;  50.33638535;+020.28621214; 11.105; 10.566;  47; 7.2009; 0.0000; 0.0000;0
 50.3387794469;+18.8031687940;  50.33879172;+018.80320936; 12.441; 13.278;  47; 8.1293; 0.0000; 0.0000;0
 50.3396735709;+25.8403542871;  50.33966952;+025.84035961; 12.696; 11.488;  47; 6.0938; 0.0000; 0.8953;1
 50.3406557619;+23.0077622333;  50.34080240;+023.00783165; 10.438;  9.836;  47; 6.0802; 0.0000; 1.0000;1
 50.3418145457;+18.4676339468;  50.34179914;+018.46767111; 12.758; 11.735;  47; 8.3594; 0.0000; 0.0000;0
 50.3441410382;+27.8038679303;  50.34413879;+027.80386934; 10.978; 10.415;  47; 6.8217; 0.0000; 0.0000;0
